Opportunity,Product Line,Quote: Quote Number,Quote: Created Date,Quote Line: Line Name,Account Name,Account Type,Status,Approval Status,Quote: Owner Name,Payment Terms,Bill To Country,Ship To Country,Part Number,Lead Time (weeks),Quantity,Net Unit Price,Net Total,Regional Sales Manager,Sales Rep,CS Office,Channel,Approved Date,Business Unit,Distributor,Email DateTime Stamp,End Date,Expires On,Internal Notes,Line Item Count,OPNUM,Original Quote,PLM Approval Required,QTAT (Business Days),Quote Approved Date Time Stamp,QuoteNum,Quote Presented DateTimeStamp,Quote Submitted For Approval Date Time,Quote TAT Days,Quote Line: Last Modified Date,Quote Line: Created Date,Line Note,MOQ Tier,Quote Year,Qtr,Yr_Qtr
Synthetic Opportunity 05060,AMPLIFIERS,Q-405060,3/27/2024,QL-8005060,Synthetic Account 261,Distributor,Presented,Approved,Synthetic User 11,Net 45,United States,Japan,ADP11871,8 weeks,3620,$186.73 ,"$675,962.60 ",Synthetic User 11,Synthetic User 11,Office 1,Distribution,46192,MW,,46225.49792,,46247,Synthetic note for record 05060,4874,OP270000694892,,No,4950,45324.61667,QN270000694987,45346.64306,45357.65625,,45379,45390,Synthetic note for record 05060,5121,140,Synthetic Qtr 05060,Synthetic Yr_Qtr 05060
Synthetic Opportunity 05160,AMPLIFIERS,Q-405160,2/25/2026,QL-8005160,Synthetic Account 61,Customer,Presented,Not Required,Synthetic User 11,Net 30,United States,Japan,ADP11871,12 weeks,7320,$186.73 ,"$1,366,863.60 ",Synthetic User 11,Synthetic User 11,Office 1,Distribution,45892,RF,,45925.01181,,45947,Synthetic note for record 05160,8574,OP270000708592,,No,8650,46024.13056,QN270000708687,46046.15694,46057.17014,,46079,46090,Synthetic note for record 05160,8821,3840,Synthetic Qtr 05160,Synthetic Yr_Qtr 05160
Synthetic Opportunity 05840,AMPLIFIERS,Q-405840,12/12/2024,QL-8005840,Synthetic Account 141,Distributor,Presented,Approved,Synthetic User 41,Net 45,United States,Japan,ADP11871,4 weeks,480,$186.73 ,"$89,630.40 ",Synthetic User 41,Synthetic User 41,Office 1,Distribution,45452,MW,,45485.70625,,45507,Synthetic note for record 05840,1734,OP270000801752,,No,1810,45584.825,QN270000801847,45606.85139,45617.86458,1905,45639,45650,Synthetic note for record 05840,1981,2000,Synthetic Qtr 05840,Synthetic Yr_Qtr 05840
Synthetic Opportunity 06520,AMPLIFIERS,Q-406520,6/25/2026,QL-8006520,Synthetic Account 221,Prospect,Presented,Pending,Synthetic User 21,Prepaid,United States,Japan,ADP11871,12 weeks,3640,$186.73 ,"$679,697.20 ",Synthetic User 21,Synthetic User 21,Office 1,Distribution,46012,CS,,46045.40069,,46067,Synthetic note for record 06520,4894,OP270000894912,,No,4970,46144.51944,QN270000895007,46166.54583,46177.55903,5065,46199,46210,Synthetic note for record 06520,5141,160,Synthetic Qtr 06520,Synthetic Yr_Qtr 06520
Synthetic Opportunity 07300,AMPLIFIERS,Q-407300,6/15/2024,QL-8007300,Synthetic Account 101,Prospect,Presented,Pending,Synthetic User 1,Prepaid,United States,Japan,ADP11871,8 weeks,500,$186.73 ,"$93,365.00 ",Synthetic User 1,Synthetic User 1,Office 1,Distribution,46272,CS,,45305.60903,,45327,,1754,OP270001001772,,,1830,45404.72778,QN270001001867,45426.75417,,,45459,45470,,2001,2020,Synthetic Qtr 07300,Synthetic Yr_Qtr 07300
Synthetic Opportunity 00005,RF,Q-400005,5/31/2024,QL-8000005,Synthetic Account 6,Distributor,Draft,Approved,Synthetic User 6,Net 45,,United States,ADP12054,9 weeks,,,,Synthetic User 6,Synthetic User 6,Office 6,Direct,46257,MW,,46290.57083,,45312,Synthetic note for record 00005,2339,OP270000002357,,,2415,45389.68958,QN270000002452,45411.71597,,,45444,45455,Synthetic note for record 00005,2586,2605,Synthetic Qtr 00005,Synthetic Yr_Qtr 00005
Synthetic Opportunity 00007,FILTERS,Q-400007,7/4/2024,QL-8000007,Synthetic Account 8,Prospect,Expired,Pending,Synthetic User 8,Prepaid,,Germany,ADP12055,11 weeks,,,,Synthetic User 8,Synthetic User 8,Office 8,Direct,46291,CS,,45324.76111,,45346,Synthetic note for record 00007,2613,OP270000002631,,,2689,45423.87986,QN270000002726,45445.90625,,,45478,45489,Synthetic note for record 00007,2860,2879,Synthetic Qtr 00007,Synthetic Yr_Qtr 00007
Synthetic Opportunity 00604,AMPLIFIERS,Q-400604,11/30/2024,QL-8000604,Synthetic Account 5,Prospect,Presented,Pending,Synthetic User 5,Prepaid,,Japan,ADP11871,16 weeks,,,,Synthetic User 5,Synthetic User 5,Office 5,Distribution,45440,CS,,45473.55903,,45495,Synthetic note for record 00604,4402,OP270000084420,,,4478,45572.67778,QN270000084515,45594.70417,,4573,45627,45638,Synthetic note for record 00604,4649,4668,Synthetic Qtr 00604,Synthetic Yr_Qtr 00604
Synthetic Opportunity 01032,AMPLIFIERS,Q-401032,9/2/2025,QL-8001032,Synthetic Account 133,Customer,Presented,Not Required,Synthetic User 33,Net 30,,Japan,ADP11871,12 weeks,,,,Synthetic User 33,Synthetic User 33,Office 3,Distribution,45716,RF,,45749.27847,,45771,Synthetic note for record 01032,3038,OP270000143056,,No,3114,45848.39722,QN270000143151,45870.42361,45881.43681,,45903,45914,,3285,3304,Synthetic Qtr 01032,Synthetic Yr_Qtr 01032
Synthetic Opportunity 01132,AMPLIFIERS,Q-401132,11/6/2024,QL-8001132,Synthetic Account 233,Prospect,Presented,Pending,Synthetic User 33,Prepaid,,Japan,ADP11871,16 weeks,,,,Synthetic User 33,Synthetic User 33,Office 3,Distribution,45416,CS,,45449.79236,,45471,Synthetic note for record 01132,6738,OP270000156756,,No,,45548.91111,QN270000156851,45570.9375,45581.95069,,45603,45614,Synthetic note for record 01132,6985,2004,Synthetic Qtr 01132,Synthetic Yr_Qtr 01132
Synthetic Opportunity 01636,AMPLIFIERS,Q-401636,5/28/2026,QL-8001636,Synthetic Account 137,Prospect,Presented,Pending,Synthetic User 37,Prepaid,United States,Japan,ADP11871,8 weeks,,,,Synthetic User 37,Synthetic User 37,Office 7,Distribution,45984,CS,,46017.74236,,46039,Synthetic note for record 01636,5786,OP270000225804,,No,5862,46116.86111,QN270000225899,46138.8875,46149.90069,,46171,46182,,6033,1052,Synthetic Qtr 01636,Synthetic Yr_Qtr 01636
Synthetic Opportunity 01888,AMPLIFIERS,Q-401888,6/11/2024,QL-8001888,Synthetic Account 89,Prospect,Presented,Pending,Synthetic User 39,Prepaid,United States,Japan,ADP11871,4 weeks,,,,Synthetic User 39,Synthetic User 39,Office 9,Distribution,46268,CS,,45301.71736,,45323,Synthetic note for record 01888,310,OP270000260328,,,386,45400.83611,QN270000260423,45422.8625,,,45455,45466,Synthetic note for record 01888,557,576,Synthetic Qtr 01888,Synthetic Yr_Qtr 01888
Synthetic Opportunity 02316,AMPLIFIERS,Q-402316,3/14/2025,QL-8002316,Synthetic Account 217,Customer,Presented,Not Required,Synthetic User 17,Net 30,United States,Japan,ADP11871,16 weeks,,,,Synthetic User 17,Synthetic User 17,Office 7,Distribution,45544,RF,,45577.43681,,45599,Synthetic note for record 02316,8946,OP270000318964,,No,,45676.55556,QN270000319059,,45709.59514,,45731,45742,Synthetic note for record 02316,9193,4212,Synthetic Qtr 02316,Synthetic Yr_Qtr 02316
Synthetic Opportunity 02640,AMPLIFIERS,Q-402640,8/4/2026,QL-8002640,Synthetic Account 241,Customer,Presented,Not Required,Synthetic User 41,Net 30,,Japan,ADP11870,4 weeks,,,,Synthetic User 41,Synthetic User 41,Office 1,Distribution,46052,RF,,46085.26181,,46107,,3334,OP270000363352,,No,3410,46184.38056,QN270000363447,46206.40694,46217.42014,3505,46239,46250,Synthetic note for record 02640,3581,3600,Synthetic Qtr 02640,Synthetic Yr_Qtr 02640
Synthetic Opportunity 02643,FILTERS,Q-402643,9/24/2026,QL-8002643,Synthetic Account 244,Customer,Expired,Not Required,Synthetic User 44,Net 30,,Germany,ADP11871,7 weeks,,,,Synthetic User 44,Synthetic User 44,Office 4,Direct,46103,RF,,46136.54722,,46158,,3745,OP270000363763,,Yes,3821,46235.66597,QN270000363858,46257.69236,46268.70556,3916,46290,45301,Synthetic note for record 02643,3992,4011,Synthetic Qtr 02643,Synthetic Yr_Qtr 02643
Synthetic Opportunity 02744,AMPLIFIERS,Q-402744,12/15/2025,QL-8002744,Synthetic Account 45,Distributor,Presented,Approved,Synthetic User 45,Net 45,,Japan,ADP11871,12 weeks,,,,Synthetic User 45,Synthetic User 45,Office 5,Distribution,45820,MW,,45853.15625,,45875,Synthetic note for record 02744,7582,OP270000377600,,,7658,45952.275,QN270000377695,45974.30139,,,46007,46018,Synthetic note for record 02744,7829,2848,Synthetic Qtr 02744,Synthetic Yr_Qtr 02744
Synthetic Opportunity 03524,AMPLIFIERS,Q-403524,9/1/2026,QL-8003524,Synthetic Account 225,Distributor,Presented,Approved,Synthetic User 25,Net 45,United States,Japan,ADP11871,8 weeks,,,,,Synthetic User 25,Office 5,Distribution,46080,MW,,46113.36458,,46135,Synthetic note for record 03524,4442,OP270000484460,,No,4518,46212.48333,QN270000484555,46234.50972,46245.52292,4613,46267,46278,Synthetic note for record 03524,4689,4708,Synthetic Qtr 03524,Synthetic Yr_Qtr 03524
Synthetic Opportunity 04141,RF,Q-404141,4/8/2025,QL-8004141,Synthetic Account 242,Prospect,Draft,Pending,Synthetic User 42,Prepaid,Canada,United States,ADP12055-T,17 weeks,,,,Synthetic User 42,Synthetic User 42,Office 2,Direct,45569,CS,,45602.06528,,45624,Synthetic note for record 04141,8971,OP270000568989,,Yes,9047,45701.18403,QN270000569084,45723.21042,45734.22361,9142,45756,45767,Synthetic note for record 04141,9218,4237,Synthetic Qtr 04141,Synthetic Yr_Qtr 04141
Synthetic Opportunity 05236,AMPLIFIERS,Q-405236,3/19/2024,QL-8005236,Synthetic Account 137,Prospect,Presented,Pending,Synthetic User 37,Prepaid,United States,Japan,ADP11871,8 weeks,,,,Synthetic User 37,Synthetic User 37,Office 7,Distribution,46184,CS,,46217.24236,,46239,Synthetic note for record 05236,8986,OP270000719004,,No,9062,45316.36111,QN270000719099,45338.3875,45349.40069,,45371,45382,Synthetic note for record 05236,9233,4252,Synthetic Qtr 05236,Synthetic Yr_Qtr 05236
Synthetic Opportunity 05336,AMPLIFIERS,Q-405336,2/17/2026,QL-8005336,Synthetic Account 237,Distributor,Presented,Approved,Synthetic User 37,Net 45,United States,Japan,ADP11871,12 weeks,,,,Synthetic User 37,Synthetic User 37,Office 7,Distribution,45884,MW,,45917.75625,,45939,Synthetic note for record 05336,2686,OP270000732704,,No,2762,46016.875,QN270000732799,46038.90139,46049.91458,2857,46071,46082,,2933,2952,Synthetic Qtr 05336,Synthetic Yr_Qtr 05336
Synthetic Opportunity 06016,AMPLIFIERS,Q-406016,12/4/2024,QL-8006016,Synthetic Account 17,Prospect,Presented,Pending,Synthetic User 17,Prepaid,United States,Japan,ADP11871,,,,,Synthetic User 17,Synthetic User 17,Office 7,Distribution,45444,CS,,45477.45069,,45499,Synthetic note for record 06016,5846,OP270000825864,,No,5922,45576.56944,QN270000825959,45598.59583,45609.60903,,45631,45642,Synthetic note for record 06016,6093,1112,Synthetic Qtr 06016,Synthetic Yr_Qtr 06016
